programme,source_folder,total_major_units,requirement_structure,competency,status,curriculum_evidence,interpretation,source_pdf,limitations
Statistics,统计学,70,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; DDA3005 Numerical Methods 數值方法 3; DDA4080 Capstone Project 畢業設計 3; STA3006 Design and Analysis of Experiments 實驗設計與分析 3; ECO3211 Quantitative Methods for Policy,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",study_scheme_-_stat_2025-26_and_thereafter_circularab2026_c015_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Statistics,统计学,70,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,BIO1008 Chemistry and Life Sciences 化學與生命科學 3; BIM2005 Computational Biology 計算生物學 3; BIM3001 Bioinformatics 生物信息學 3; STA4606 Machine Learning for Biomedical; ECO3211 Quantitative Methods for Policy,The programme prepares students for specialized disciplinary or professional domains.,study_scheme_-_stat_2025-26_and_thereafter_circularab2026_c015_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Statistics,统计学,70,"required courses, major electives, streams/specializations",Practical application and industry readiness,Supporting / Optional,FIN3210 Fintech Theory and Practice 金融科技理論與實踐 3,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",study_scheme_-_stat_2025-26_and_thereafter_circularab2026_c015_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Translation,翻译,69,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,HSS1006 Introduction to Sociology 社會學導論 3; HSS1008 Principles of Economics 經濟學原理 3; TRA1010 Principles of Translation 翻譯概論 3; TRA2010 Introduction to Interpreting 傳譯入門 3; TRA3010 Theory of Translation 翻譯理論 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - TRA_2022-23 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Translation,翻译,69,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Supporting / Optional,HSS1009 Mathematics (Humanities and Social,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - TRA_2022-23 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Translation,翻译,69,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,ENB4308 Computer Programming for Natural,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - TRA_2022-23 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Translation,翻译,69,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Supporting / Optional,DDA3020 Machine Learning 機器學習 3; TRA3440 Large Language Models and Language,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - TRA_2022-23 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Translation,翻译,69,"required courses, major electives, streams/specializations",Research and methodological ability,Core,TRA4030 Capstone Translation Project 長篇翻譯項目 3; TRA2130 Language Studies for Translation 語言研究與翻譯 3; TRA4120 Translation Seminars 翻譯研討 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - TRA_2022-23 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Translation,翻译,69,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Core,HSS1004* Advanced Academic Writing 高級學術寫作 3; *The course title of HSS1004 was “Analytical Writing” till the 2024-25 academic year. Starting from the 2025-; TRA1020 Communication and Translation 傳意與翻譯 3; TRA2530 Writing Skills and Translation 寫作技巧與翻譯 3; TRA3260 Public Relations Translation 公共關係翻譯 3,"The curriculum cultivates academic, professional, or public communication abilities.",Study Scheme - TRA_2022-23 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Translation,翻译,69,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Core,any new second foreign language courses are added. SFL1001 is the prerequisite course; for SFL1002. Students must stick to the same language if they intend to take SFL1002.; TRA1010 Principles of Translation 翻譯概論 3; TRA1020 Communication and Translation 傳意與翻譯 3; TRA2010 Introduction to Interpreting 傳譯入門 3,"Students are expected to work with language, texts, translation, culture, or intercultural meaning.",Study Scheme - TRA_2022-23 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Translation,翻译,69,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,HSS1008 Principles of Economics 經濟學原理 3; ENB4206 Legal Translation 法律翻譯初階 3; TRA3270 Financial Translation 財經翻譯 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - TRA_2022-23 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
English Studies (for Professional Purposes),英语,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,HSS1006 Introduction to Sociology 社會學導論 3; HSS1008 Principles of Economics 經濟學原理 3; HSS1010 Principles of Political Science 政治學原理 3; HSS1011 Introduction to Social Science Research 社會科學研究導論 3; TRA1010 Principles of Translation 翻譯概論 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - English Studies_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
English Studies (for Professional Purposes),英语,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,HSS1011 Introduction to Social Science Research 社會科學研究導論 3; ENB2005 English Studies for Media Communication 媒體傳播中的英語研究 3; ENB4002 Capstone Project for English Studies 畢業設計 3; ENB4201 Introduction to Western Legal Systems 西方法律制度導論 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - English Studies_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
English Studies (for Professional Purposes),英语,72,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Core,"Legal Communication (Legal): ENB4201, 4202; Media Communication (Media): ENB2003, 2401; Legal Communication (Legal): ENB4205; Media Communication (Media): ENB3005; Legal Communication (Legal): ENB4207","The curriculum cultivates academic, professional, or public communication abilities.",Study Scheme - English Studies_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
English Studies (for Professional Purposes),英语,72,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Core,"Translation and Interpreting (T&I): TRA1010, 3271; Translation and Interpreting (T&I): TRA2020; Translation and Interpreting (T&I): TRA2360; Translation and Interpreting (T&I): TRA3520; ENB2006 Translation and Intercultural","Students are expected to work with language, texts, translation, culture, or intercultural meaning.",Study Scheme - English Studies_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
English Studies (for Professional Purposes),英语,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,"Legal Communication (Legal): ENB4201, 4202; Legal Communication (Legal): ENB4205; Legal Communication (Legal): ENB4207; Legal Communication (Legal): ENB4208; 法律事務方向：ENB4201, 4202",The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - English Studies_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
English Studies (for Professional Purposes),英语,72,"required courses, major electives, streams/specializations",Practical application and industry readiness,Supporting / Optional,ENB4205 Cases in English Legal Wo r ld 英語法律案例 3,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme - English Studies_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Computer Science and Engineering,计算机科学与技术,70,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,Option A CSC1001 Introduction to Computer Science:; CSC1003 Introduction to Computer Science; DDA2001 Introduction to Data Science 數據科學基礎 3; CSC3060 Introduction to Computer Systems 計算機系統導論 4; CSC2003 Introduction to Java Programming Java程序設計導論 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - CSE_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Computer Science and Engineering,计算机科学与技术,70,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT1011 Honours Calculus I 微積分榮譽課程; MAT1012 Honours Calculus II 微積分榮譽課程; MAT2041 Linear Algebra and Applications 線性代數與應用 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - CSE_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Computer Science and Engineering,计算机科学与技术,70,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,Option C STA2001 Probability and Statistics I 概率及統計（一） 3; ECO3121 Introductory Econometrics 計量經濟學導論 3; STA3005 Statistical Computing 統計計算 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - CSE_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Computer Science and Engineering,计算机科学与技术,70,"required courses, major electives, streams/specializations",Programming and computing ability,Core,CSC3200 Data Structures and Advanced; CSC4120 Design and Analysis of Algorithms 算法設計及分析 3; CSC2003 Introduction to Java Programming Java程序設計導論 3; CSC3002 C/C++ Programming C/C++程序設計 3; CSC3102 Advanced Programming Laboratory 高級程序設計實驗 2,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - CSE_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Computer Science and Engineering,计算机科学与技术,70,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,DDA2001 Introduction to Data Science 數據科學基礎 3; CSC3200 Data Structures and Advanced; DDA3020 Machine Learning 機器學習 3; CSC3170 Database System 數據庫系統 3; CSC4100 Natural Language Processing 自然語言處理 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - CSE_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Computer Science and Engineering,计算机科学与技术,70,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory Using; CSC3102 Advanced Programming Laboratory 高級程序設計實驗 2; DDA3005 Numerical Methods 數值方法 3; DDA4080 Capstone Project 畢業設計 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - CSE_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Computer Science and Engineering,计算机科学与技术,70,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Supporting / Optional,CSC4100 Natural Language Processing 自然語言處理 3,"Students are expected to work with language, texts, translation, culture, or intercultural meaning.",Study Scheme - CSE_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Computer Science and Engineering,计算机科学与技术,70,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,"BIO1008 Chemistry and Life Sciences 化學與生命科學 3; BIM3001 Bioinformatics 生物信息學 3; CSC4001 Software Engineering 軟件工程 3; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; EIE3280 Networks: Technology, Economics",The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - CSE_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Finance,金融学,69,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,MGT2020 Principles of Management 管理原理 3; FIN3210 Fintech Theory and Practice 金融科技理論與實踐 3; CSC1001 Introduction to Computer Science:; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; FIN2020 Foundation of Finance 金融學基礎 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Finance,金融学,69,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,STA2001 Probability and Statistics I 概率及統計（一） 3; STA2002 Probability and Statistics II 概率及統計（二） 3; DMS3002 Applied Probability and Stochastic Process; ECO3211 Quantitative Methods for Policy Evaluation 政策評估的計量方法 3; FIN2210 Probability for Finance 金融概率 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Finance,金融学,69,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,ECO2121 Introductory Statistics 統計學導論 3; STA2001 Probability and Statistics I 概率及統計（一） 3; ECO3121 Introductory Econometrics 計量經濟學導論 3; STA2002 Probability and Statistics II 概率及統計（二） 3; STA3020 Statistical Inference 統計推斷 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Finance,金融学,69,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,FIN4560 Market Microstructure and Algorithmic,Students are expected to use computational tools or programming to solve disciplinary problems.,study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Finance,金融学,69,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,FIN3380 Financial Data Analysis with AI Tools 金融數據分析與 AI 工具 3; ECO3090 Machine Learning for Financial Economics 機器學習與金融經濟學 3; FIN3090 AI Applications in Finance 人工智能在金融中的應用 3; DDA3020 Machine Learning 機器學習 3; DMS3003 Data Analytics and Decision Making 數據分析和決策制定 3,"The programme includes data-centric, digital, analytics, or AI-related training.",study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Finance,金融学,69,"required courses, major electives, streams/specializations",Research and methodological ability,Core,ECO3211 Quantitative Methods for Policy Evaluation 政策評估的計量方法 3; FIN3370 Research Methods in Finance 金融學研究方法 3; FIN4270* Thesis in Finance 金融學論文 3; FIN4280* Thesis in Finance II 金融學論文 II 3; FIN4312* Directed Research in Finance I 金融學定向研究 I 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Finance,金融学,69,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,"concentration of “ AI in Finance”: ECO3011, 3021, 3090, FIN3090, 4110, 4120,; ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3",The programme prepares students for specialized disciplinary or professional domains.,study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Finance,金融学,69,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,FIN3210 Fintech Theory and Practice 金融科技理論與實踐 3; DMS3002 Applied Probability and Stochastic Process; MGT4020 Case Study 案例分析 3; MGT4188 Internship / Practicum / Research 實習/研究 3,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Financial Engineering,金融工程,70,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,CSC1001 Introduction to Computer Science:; FIN2020 Foundation of Finance 金融學基礎 3; FIN3210 Fintech Theory and Practice 金融科技理論與實踐 3; CSC2003 Introduction to Java Programming Java 程序設計導論 3; CSC3180[2] Fundamentals of Artificial Intelligence 人工智能之基本原理 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - FE_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Financial Engineering,金融工程,70,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; MAT1011 Honours Calculus I 微積分榮譽課程（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT1012 Honours Calculus II 微積分榮譽課程（二） 3; MAT2040 Linear Algebra 線性代數 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - FE_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Financial Engineering,金融工程,70,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,STA2001 Probability and Statistics I 概率及統計（一） 3; ECO3121 Introductory Econometrics 計量經濟學導論 3; STA2002 Probability and Statistics II 概率及統計（二） 3; STA3020 Statistical Inference 統計推斷 3; STA4020 Statistical Modelling in Financial,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - FE_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Financial Engineering,金融工程,70,"required courses, major electives, streams/specializations",Programming and computing ability,Core,CSC3100 Data Structures 數據結構 3; CSC2003 Introduction to Java Programming Java 程序設計導論 3; CSC3002 C/C++ Programming C/C++程序設計 3; CSC3100[1] Data Structures 數據結構 3,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - FE_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Financial Engineering,金融工程,70,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,DDA3020 Machine Learning 機器學習 3; CSC3100 Data Structures 數據結構 3; CSC3100[1] Data Structures 數據結構 3; CSC3170[2] Database System 數據庫系統 3; CSC3180[2] Fundamentals of Artificial Intelligence 人工智能之基本原理 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - FE_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Financial Engineering,金融工程,70,"required courses, major electives, streams/specializations",Research and methodological ability,Supporting / Optional,CSC1002 Computational Laboratory 計算機實驗 1,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - FE_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Financial Engineering,金融工程,70,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,ACT2111 Introductory Financial Accounting 財務會計導論 3; ECO2011 Basic Microeconomics 微觀經濟學基礎 3; FIN2010 Financial Management 財務管理 3; FIN2020 Foundation of Finance 金融學基礎 3; FIN3210 Fintech Theory and Practice 金融科技理論與實踐 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - FE_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Financial Engineering,金融工程,70,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,FIN3210 Fintech Theory and Practice 金融科技理論與實踐 3; DMS3002[1] Applied Probability and Stochastic; FTE4999 Internship 金融工程實習 3,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme - FE_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Musicology,音乐学,68,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,MUS2401 Introduction to Ethnomusicology 民族音樂學導論 2; MUS1150 Introduction to Music Literature I 音樂文獻概論 I 2; MUS1151 Introduction to Music Literature II 音樂文獻概論 II 2; MUS2700* Introduction to Music Therapy 音樂治療導論 2; vi). The course title of MUS2501 is Introduction to Musicology for students who study the course,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - Musicology_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Musicology,音乐学,68,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,MUS4112 A Survey of Contemporary Music 當代音樂概論 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - Musicology_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Musicology,音乐学,68,"required courses, major electives, streams/specializations",Research and methodological ability,Core,MUS2500 Research Methods in Music 音樂研究方法 2; MUS4503 Thesis I 論文寫作 I 2; MUS4504 Thesis II 論文寫作 II 2; MUS1512 Seminar in Western Music History I 西方音樂史專題研討 I 1; MUS2512 Seminar in Western Music History II 西方音樂史專題研討 II 1,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - Musicology_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Musicology,音乐学,68,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Supporting / Optional,MUS4113 Music in Popular Culture 流行文化中的音樂 3; MUS3113 Music in World Culture 世界文化中的音樂 3,"Students are expected to work with language, texts, translation, culture, or intercultural meaning.",Study Scheme - Musicology_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Musicology,音乐学,68,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,MUS1110 Materials and Structure of Music I 音樂材料與結構 I 2; MUS1111 Materials and Structure of Music Ⅱ 音樂材料與結構 Ⅱ 2; MUS3201 Laws and Regulations in Creative; MUS3700* Music Management and Promotion 音樂管理與推廣 2,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - Musicology_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Musicology,音乐学,68,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,MUS1001 Applied Music I 專業主修 I 2; MUS1002 Applied Music II 專業主修 II 2; MUS1007 Aural Practice and Perception I 聽音練習和感知 I 2; MUS4505 Applied Musicology 應用音樂學 2; MUS2550 Chinese Vocal Music Practicum 中國傳統聲樂作品模唱 2,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme - Musicology_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Performance,音乐表演,71,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Supporting / Optional,MUS1110 Materials and Structure of Music I 音樂材料與結構 I 2,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme_BA in Music Performance_2022-23_Circular(AB2025_C066).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Performance,音乐表演,71,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,MUS1001 Applied Music I 專業主修 I 2; MUS1002 Applied Music II 專業主修 II 2; MUS1007 Aural Practice and Perception I 聽音練習和感知 I 2,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme_BA in Music Performance_2022-23_Circular(AB2025_C066).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
